#,BGA Name,Rating
1,SakuraEcho,2147
2,Rock_P,2144
3,monkeydo,2112
4,JDansp,2085
5,What How,2082
6,hardtounderstand,2059
7,Milowitt,2053
8,XuXuXuXuXuXu,2049
9,tobiko11,2030
10,Yutenji Nyamu,2029
11,vz1h7owsuh,2026
12,yvguef36oqct,2025
13,ah_lcg,2023
14,emu456,2015
15,QuantumEagle,2015
16,Kawasaki2933,2014
17,Neil003,2010
18,nimoac,2008
19,auuu12,2006
20,sorryimlikethis,2003
21,lbyw3,2003
22,perrylin,2003
23,fished my wish,2002
24,wtkms,1999
25,Target star,1986
26,Chen233,1986
27,QBert,1980
28,CN_Azul,1980
29,Tsong Chen,1979
30,Midashood,1977
31,Faerch,1977
32,Mondaycold,1976
33,The cat fish,1976
34,jackochow,1975
35,hazerrs,1971
36,HZLSSB,1967
37,pinkex239,1964
38,svs149,1963
39,yakku99,1962
40,Rymor27,1958
41,Duci9,1956
42,Window56,1951
43,Employee_427,1951
44,zombira,1949
45,stanley654321,1948
46,Chan sey,1948
47,duyanhcao,1947
48,hoodmidas,1947
49,Sh1norina,1945
50,ice wizard,1942
51,SirL,1941
52,Helbiii,1940
53,pppppdian,1939
54,zhpls,1935
55,Christ Surprised,1933
56,traine3g,1932
57,The Aristocrat,1930
58,BS_,1929
59,lanlanwww,1927
60,esddse1,1927
61,wangdaishu,1925
62,Aluap Tsai,1925
63,icefacez,1924
64,rockstar18,1924
65,2win9,1923
66,Zherak,1923
67,Zuzannatuba,1922
68,Zheng,1921
69,Rincewind820,1918
70,ooltje,1917
71,chengzi9898,1917
72,portgard,1914
73,Fool Klein,1914
74,Druen88,1914
75,Hivaoa,1912
76,tbu3k,1911
77,Luciddream08,1911
78,Kharghurzarek,1911
79,Snowyowl Tale,1909
80,Targetttt,1909
81,greedisgood000,1908
82,Just_one_time,1908
83,human_light,1907
84,tjh23,1904
85,Teh_Zealot,1904
86,Midaaaas,1904
87,worldpeaceeeee,1904
88,just_again,1903
89,extrazen,1902
90,umegf,1902
91,pate de lo,1902
92,Rease942,1901
93,DaZaiErXia,1900
94,buldozer,1900
95,changpei98,1899
96,oli35,1899
97,JinnyF,1899
98,HotsauceWally,1899
99,Earl the pearl,1897
100,MonkeyinAround,1897